,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
21721,170849,170850,〔8471｜10｜17｜21〕,<H>מַּ֔יִם<h><H> <h>,4325,
34363,267540,267541,〔20601｜26｜7｜23〕,<H>מִשְׁפַּ֣ט<h><H> <h>,4941,שׁפט
28470,223372,223373,〔18310｜23｜34｜6〕,<H>אֶ֥רֶץ<h><H> <h>,776,ארצ
28716,224821,224822,〔18382｜23｜37｜29〕,<H>דֶּ֖רֶךְ<h><H> <h>,1870,דרכ
33611,262554,262555,〔20205｜24｜50｜38〕,<H>חֹ֥רֶב<h><H> <h>,2721,
49884,360990,360991,〔17406｜21｜5｜8〕,<H>מִשְׁפָּ֤ט<h><H> <h>,4941,שׁפט
47057,344740,344741,〔13723｜18｜35｜2〕,<H>מִשְׁפָּ֑ט<h><H> <h>,4941,שׁפט
30485,236927,236928,〔19050｜24｜4｜22〕,<H>סְכָלִים֙<h><H> <h>,5530,
19809,154235,154236,〔7768｜9｜20｜37〕,<H>חֵ֖צִי<h><H> <h>,2678,
39697,300733,300734,〔22641｜33｜5｜7〕,<H>אָדָֽם<h><H>׃ <h>,120,אדמ
44969,332330,332331,〔16032｜19｜119｜133〕,<H>פְּ֭עָמַי<h><H> <h>,6471,פעמ
16767,125961,125962,〔6454｜6｜22｜27〕,<H>חֵ֖לֶק<h><H> <h>,2506,חלק
39317,297904,297905,〔22501｜30｜9｜5〕,<H>אדֹנָ֨י<h><H> <h>,136,אדנ
45277,334030,334031,〔16210｜19｜136｜13〕,<H>ס֭וּף<h><H> <h>,5488,
5313,43335,43336,〔2273｜2｜26｜37〕,<H>וָוֵיהֶ֖ם<h><H> <h>,2053,
29795,232268,232269,〔18805｜23｜59｜4〕,<H>אֱמוּנָ֑ה<h><H> <h>,530,
17710,134881,134882,〔6849｜7｜11｜19〕,<H>מֶ֣לֶךְ<h><H> <h>,4428,מלכ
16211,120794,120795,〔6178｜6｜13｜23〕,<H>גְּבוּל֙<h><H> <h>,1366,גבל
53339,379280,379281,〔12105｜15｜3｜7〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
52664,374896,374897,〔21949｜27｜7｜15〕,<H>נִדְנֶ֑ה<h><H> <h>,5085,
7362,54552,54553,〔2842｜3｜5｜11〕,<H>סֹ֖לֶת<h><H> <h>,5560,
10597,75545,75546,〔3957｜4｜8｜17〕,<H>אֶ֣רֶץ<h><H> <h>,776,ארצ
17335,131318,131319,〔6693｜7｜6｜38〕,<H>מָּחֳרָ֔ת<h><H> <h>,4283,
58311,418489,418490,〔11690｜14｜24｜12〕,<H>מְלֶ֨אכֶת֙<h><H> <h>,4399,מלאכ
28926,226341,226342,〔18470｜23｜41｜18〕,<H>מַ֔יִם<h><H> <h>,4325,
11093,80293,80294,〔4208｜4｜16｜13〕,<H>חָלָב֙<h><H> <h>,2461,
24858,196420,196421,〔9603｜12｜3｜26〕,<H>מֶ֥לֶךְ<h><H> <h>,4428,מלכ
59224,426112,426113,〔11998｜14｜36｜4〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
40898,308830,308831,〔23067｜38｜13｜7〕,<H>חֶ֗רֶב<h><H> <h>,2719,חרב
33231,259906,259907,〔20058｜24｜46｜12〕,<H>גֹויִם֙<h><H> <h>,1471,
33715,263124,263125,〔20236｜24｜51｜23〕,<H>סְגָנִֽים<h><H>׃ <h>,5461,
10607,75663,75664,〔3962｜4｜8｜22〕,<H>עֲבֹֽדָתָם֙<h><H> <h>,5656,עבד
21831,171818,171819,〔8507｜10｜18｜28〕,<H>מֶּֽלֶךְ<h><H>׃ <h>,4428,מלכ
12346,89641,89642,〔4706｜4｜31｜41〕,<H>מֶ֨כֶס֙<h><H> <h>,4371,
4015,33418,33419,〔1762｜2｜9｜19〕,<H>אָדָ֨ם<h><H> <h>,120,אדמ
43519,323973,323974,〔15161｜19｜78｜47〕,<H>חֲנָמַֽל<h><H>׃ <h>,2602,
22978,180749,180750,〔8930｜11｜6｜33〕,<H>שָׁ֑מֶן<h><H> <h>,8081,שׁמנ
13737,101139,101140,〔5278｜5｜13｜5〕,<H>סָ֠רָה<h><H> <h>,5627,
21249,167064,167065,〔8317｜10｜12｜30〕,<H>רֹ֣אשׁ<h><H> <h>,7218,ראשׁ
19006,145886,145887,〔7408｜9｜9｜16〕,<H>אֶ֣רֶץ<h><H> <h>,776,ארצ
18757,143807,143808,〔7319｜9｜4｜21〕,<H>חָמִ֖יהָ<h><H> <h>,2524,
