,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
21721,170849,170850,〔8471｜10｜17｜21〕,<H>מַּ֔יִם<h><H> <h>,4325,
45277,334030,334031,〔16210｜19｜136｜13〕,<H>ס֭וּף<h><H> <h>,5488,
29795,232268,232269,〔18805｜23｜59｜4〕,<H>אֱמוּנָ֑ה<h><H> <h>,530,
17335,131318,131319,〔6693｜7｜6｜38〕,<H>מָּחֳרָ֔ת<h><H> <h>,4283,
17057,129043,129044,〔6585｜7｜3｜16〕,<H>גֹּ֣מֶד<h><H> <h>,1574,
7272,53924,53925,〔2815｜3｜4｜19〕,<H>חֶלְבֹּ֖ו<h><H> <h>,2459,
26618,211741,211742,〔10241｜12｜25｜18〕,<H>סַּֽף<h><H>׃ <h>,5592,
628,3825,3826,〔197｜1｜8｜13〕,<H>תֵּבָ֔ה<h><H> <h>,8392,
12159,88440,88441,〔4642｜4｜29｜33〕,<H>כְּבָשִׂ֛ים<h><H> <h>,3532,
47719,348472,348473,〔16566｜20｜6｜25〕,<H>תַּחְמֹ֣ד<h><H> <h>,2530,
56686,405967,405968,〔11162｜13｜28｜18〕,<H>קְּטֹ֛רֶת<h><H> <h>,7004,
57011,407833,407834,〔11235｜14｜3｜5〕,<H>בְּרֹושִׁ֔ים<h><H> <h>,1265,
8188,60323,60324,〔3118｜3｜14｜6〕,<H>שְּׁחֻטָ֔ה<h><H> <h>,7819,
10566,75291,75292,〔3944｜4｜8｜4〕,<H>מְּנֹרָה֙<h><H> <h>,4501,
46947,344006,344007,〔13647｜18｜32｜18〕,<H>בִּטְנִֽי<h><H>׃ <h>,990,
55006,390066,390067,〔12652｜16｜12｜27〕,<H>כִנֹּרֹֽות<h><H>׃ <h>,3658,
40789,308024,308025,〔23030｜38｜11｜1〕,<H>דְּלָתֶ֑יךָ<h><H> <h>,1817,
25351,200453,200454,〔9767｜12｜9｜10〕,<H>דֶּ֖לֶת<h><H> <h>,1817,
29949,233135,233136,〔18851｜23｜61｜7〕,<H>כְלִמָּ֖ה<h><H> <h>,3639,כלמ
17466,132498,132499,〔6737｜7｜8｜17〕,<H>מִגְדַּ֥ל<h><H> <h>,4026,
54895,389113,389114,〔12587｜16｜10｜37〕,<H>עֲרִיסֹתֵ֣ינוּ<h><H> <h>,6182,
40544,306093,306094,〔22934｜38｜4｜11〕,<H>מְּנֹורָ֖ה<h><H> <h>,4501,
