,Root,BHSA,extendedStrongNumber
6,,<H>ס֖וּף<h><H> <h>,5488
7,,<H>בֶּ֥דֶק<h><H> <h>,919
9,שׂגב,<H>מִשְׂגַּבֹּ֑ו<h><H> <h>,4869
11,מלכ,<H>מַלְכָּא֙<h><H> <h>,4430
13,,<H>ט֣וּרֵי<h><H> <h>,2905
14,,<H>כְלוּב֙<h><H> <h>,3619
16,,<H>לְ֝אֻמִּ֗ים<h><H> <h>,3816
17,,<H>מּוּצָ֑ק<h><H> <h>,4165
23,עבד,<H>עַבְדִּ֤י<h><H> <h>,5650
33,,<H>חוּט֙<h><H> <h>,2339
45,לחמ,<H>מִּלְחָמָ֑ה<h><H> <h>,4421
61,,<H>מְּנֹרֹות<h><H> <h>,4501
67,,<H>גֹּויִ֖ם<h><H> <h>,1471
81,,<H>שִּׂמְלָ֗ה<h><H> <h>,8071
85,לול,<H>לַּ֔יְלָה<h><H> <h>,3915
103,,<H>חֲמֹותָ֔הּ<h><H> <h>,2545
106,,<H>סִּירֹ֨ת<h><H> <h>,5518
116,,<H>מַחֲמַדֵּ֖ינוּ<h><H> <h>,4261
125,,<H>תְּכֵ֨לֶת<h><H> <h>,8504
137,,<H>צִּנָּ֖ה<h><H> <h>,6793
142,,<H>צִּנָּ֥ה<h><H> <h>,6793
153,,<H>שָּֽׁלֶג<h><H>׃ <h>,7950
163,נגב,<H>נֶ֑גְבָּה<h><H> <h>,5045
166,,<H>גְבוּרְתָ֖א<h><H> <h>,1370
172,,<H>מַּ֖יִם<h><H> <h>,4325
176,,<H>חֻקֹּ֥ות<h><H> <h>,2708
184,,<H>מְּצוּדָ֑ה<h><H> <h>,4686
198,,<H>אֱֽמוּנָתֹו֮<h><H> <h>,530
201,עבד,<H>עַבְדִּ֖י<h><H> <h>,5650
204,,<H>תְּכֵ֧לֶת<h><H> <h>,8504
207,,<QR><H>גֹּויִ֖י<h><H> <h><qr>,1471
218,,<H>כִנֹּרֹ֔ות<h><H> <h>,3658
251,,<H>חֶלְבֹּו֙<h><H> <h>,2459
253,,<H>כֶּֽבֶשׂ<h><H>־<h>,3532
254,חרב,<H>חַרְבֹּ֔ו<h><H> <h>,2719
274,,<H>חֻקֹּתַ֥י<h><H> <h>,2708
284,קרב,<H>קָרְבָּנֹ֔ו<h><H> <h>,7133
289,פקד,<H>פְקֻדָּתָ֖ם<h><H> <h>,6486
308,מלכ,<H>מַלְכָּֽא<h><H>׃ <h>,4430
314,,<H>פַּרְתְּמִ֛ים<h><H> <h>,6579
319,,<H>פָּ֑ר<h><H> <h>,6499
323,,<H>מֶּרְכָּבָ֥ה<h><H> <h>,4818
334,,<H>חֻקַּ֤ת<h><H> <h>,2708
338,,<H>גֹּויִ֖ם<h><H> <h>,1471
340,אחז,<H>אֲחֻזָּתָם֙<h><H> <h>,272
341,,<H>כֹּ֖חַ<h><H> <h>,3581
346,,<H>גֹּוי֙<h><H> <h>,1471
348,פקד,<H>פְּקֻדָּתָֽם<h><H>׃ <h>,6486
352,דרכ,<H>דַּרְכֹּ֥ו<h><H> <h>,1870
353,,<H>תִּלָּ֔הּ<h><H> <h>,8510
361,,<H>מִדָּ֥ה<h><H> <h>,4060
366,,<H>כָּהֲנַיָּ֣א<h><H> <h>,3549
373,,<H>מַרְכָּבֹ֔ות<h><H> <h>,4818
390,,<H>יְבוּסִ֔י<h><H> <h>,2983
394,עבד,<H>עַבְדְּךָ֗<h><H> <h>,5650
395,,<H>פִשְׁרֵ֖הּ<h><H> <h>,6591
396,ארכ,<H>אָרְכֹּ֔ו<h><H> <h>,753
397,קרב,<H>קִרְבֵּ֔ךְ<h><H> <h>,7130
401,,<H>שְּׁחִ֖ין<h><H> <h>,7822
405,,<H>בְּשָׂמִ֧ים<h><H> <h>,1314
409,מלכ,<H>מַלְכָּא֙<h><H> <h>,4430
414,קומ,<H>מָּקֹ֖ום<h><H> <h>,4725
417,,<H>בֹּ֛ץ<h><H> <h>,1206
427,,<H>תַּרְשִׁ֑ישׁ<h><H> <h>,8658
438,,<H>כְּלָיֹ֔ת<h><H> <h>,3629
440,,<H>דִּכְרִין֙<h><H> <h>,1798
441,,<H>כֻּתֳּנֹֽת<h><H>׃ <h>,3801
445,,<H>פִשְׁתִּ֖ים<h><H> <h>,6593
447,עבד,<H>עַבְדְּךָ֖<h><H> <h>,5650
455,קרב,<H>קָרְבָּ֖ן<h><H> <h>,7133
458,,<H>מִגְדֹּֽל<h><H>׃ <h>,4024
460,דרכ,<H>דַּרְכֹּ֑ו<h><H> <h>,1870
466,,<H>לְּשָׁכֹ֑ות<h><H> <h>,3957
475,חרב,<H>חַרְבִּ֔י<h><H> <h>,2719
481,אישׁ,<H>אִשָּֽׁה<h><H>׃ ס <h>,802
482,,<H>סְגֻלָּתֹֽו<h><H>׃ <h>,5459
490,,<H>חֻקָּ֥ה<h><H> <h>,2708
498,קרב,<H>קִּרְבֶּ֑ךָ<h><H> <h>,7130
