,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
13687,13688,〔732｜1｜27｜4〕,<H>מַטְעַמִּ֜ים<h><H> <h>,4303,טעמ
314136,314137,〔14259｜19｜25｜7〕,<H>חַסְדְּךָ֥<h><H> <h>,2617,חסד
87434,87435,〔4585｜4｜28｜7〕,<H>נִסְכֹּו֙<h><H> <h>,5262,נסכ
352686,352687,〔17014｜20｜21｜29〕,<QR><H>דַּרְכֹּֽו<h><H>׃<h><qr>,1870,דרכ
315572,315573,〔14389｜19｜33｜22〕,<H>חַסְדְּךָ֣<h><H> <h>,2617,חסד
226756,226757,〔18496｜23｜42｜15〕,<H>אֲגַמִּ֖ים<h><H> <h>,98,אגמ
190155,190156,〔9335｜11｜17｜17〕,<H>אִשָּׁ֖ה<h><H> <h>,802,אישׁ
289524,289525,〔21674｜26｜46｜18〕,<H>אֲחֻזָּתֹֽו<h><H>׃ <h>,272,אחז
31651,31652,〔1679｜2｜6｜23〕,<H>אִשָּׁ֑ה<h><H> <h>,802,אישׁ
326131,326132,〔15370｜19｜89｜43〕,<H>מִּלְחָמָֽה<h><H>׃ <h>,4421,לחמ
74081,74082,〔3861｜4｜7｜10〕,<H>קָרְבָּנָ֖ם<h><H> <h>,7133,קרב
312019,312020,〔14064｜19｜11｜4〕,<H>עַפְעַפָּ֥יו<h><H> <h>,6079,עופ
61001,61002,〔3146｜3｜14｜34〕,<H>אֲחֻזַּתְכֶֽם<h><H>׃ <h>,272,אחז
74289,74290,〔3876｜4｜7｜25〕,<H>קָרְבָּנֹ֞ו<h><H> <h>,7133,קרב
104314,104315,〔5427｜5｜19｜20〕,<H>קִרְבֶּֽךָ<h><H>׃ <h>,7130,קרב
236675,236676,〔19035｜24｜4｜7〕,<H>מְּקֹמֹ֑ו<h><H> <h>,4725,קומ
409382,409383,〔11302｜14｜6｜19〕,<H>עַבְדְּךָ֖<h><H> <h>,5650,עבד
370604,370605,〔21763｜27｜2｜4〕,<H>מַלְכָּא֙<h><H> <h>,4430,מלכ
143063,143064,〔7287｜9｜3｜10〕,<H>עַבְדֶּֽךָ<h><H>׃ פ <h>,5650,עבד
263046,263047,〔20231｜24｜51｜18〕,<H>פְּקֻדָּתָ֖ם<h><H> <h>,6486,פקד
15733,15734,〔840｜1｜30｜9〕,<H>אִשָּֽׁה<h><H>׃ <h>,802,אישׁ
219297,219298,〔18073｜23｜22｜20〕,<H>עַבְדִּ֔י<h><H> <h>,5650,עבד
8458,8459,〔460｜1｜19｜2〕,<H>עַבְדְּכֶ֤ם<h><H> <h>,5650,עבד
409332,409333,〔11300｜14｜6｜17〕,<H>עַבְדְּךָ֥<h><H> <h>,5650,עבד
136294,136295,〔6913｜7｜14｜3〕,<H>אִשָּׁ֔ה<h><H> <h>,802,אישׁ
331982,331983,〔15987｜19｜119｜88〕,<H>חַסְדְּךָ֥<h><H> <h>,2617,חסד
317743,317744,〔14585｜19｜44｜13〕,<H>חֶ֭רְפָּה<h><H> <h>,2781,חרפ
321830,321831,〔14956｜19｜69｜20〕,<H>חֶרְפָּ֤ה<h><H>׀ <h>,2781,חרפ
373457,373458,〔21888｜27｜5｜13〕,<H>מַלְכָּ֜א<h><H> <h>,4430,מלכ
275261,275262,〔20981｜26｜22｜4〕,<H>חֶרְפָּה֙<h><H> <h>,2781,חרפ
400622,400623,〔10883｜13｜17｜19〕,<H>גְּדֻלֹּֽות<h><H>׃ <h>,1420,גדל
195969,195970,〔9584｜12｜3｜7〕,<H>מִּלְחָמָ֑ה<h><H> <h>,4421,לחמ
94099,94100,〔4958｜5｜2｜19〕,<H>יְרֻשָּׁ֔ה<h><H> <h>,3425,ירשׁ
199665,199666,〔9733｜12｜8｜5〕,<H>אִשָּׁ֔ה<h><H> <h>,802,אישׁ
200745,200746,〔9778｜12｜9｜21〕,<H>רִכְבֹּ֑ו<h><H> <h>,7393,רכב
67256,67257,〔3476｜3｜25｜6〕,<H>עַבְדְּךָ֣<h><H> <h>,5650,עבד
89281,89282,〔4686｜4｜31｜21〕,<H>מִּלְחָמָ֑ה<h><H> <h>,4421,לחמ
341856,341857,〔13431｜18｜23｜11〕,<H>דַּרְכֹּ֖ו<h><H> <h>,1870,דרכ
88185,88186,〔4627｜4｜29｜18〕,<H>נִסְכֵּיהֶ֡ם<h><H> <h>,5262,נסכ
35611,35612,〔1859｜2｜12｜42〕,<H>לַּ֤יְלָה<h><H> <h>,3915,לול
372156,372157,〔21832｜27｜3｜24〕,<H>מַלְכָּֽא<h><H>׃ <h>,4430,מלכ
83189,83190,〔4344｜4｜21｜3〕,<H>מָּקֹ֖ום<h><H> <h>,4725,קומ
159347,159348,〔7976｜9｜29｜8〕,<H>עַבְדְּךָ֔<h><H> <h>,5650,עבד
141224,141225,〔7114｜7｜21｜11〕,<H>אִשָּׁ֛ה<h><H> <h>,802,אישׁ
149594,149595,〔7564｜9｜15｜3〕,<H>אִשָּׁ֗ה<h><H> <h>,802,אישׁ
17845,17846,〔949｜1｜32｜20〕,<H>עַבְדְּךָ֥<h><H> <h>,5650,עבד
192080,192081,〔9416｜11｜20｜7〕,<H>כַסְפִּ֣י<h><H> <h>,3701,כספ
263310,263311,〔20245｜24｜51｜32〕,<H>מִּלְחָמָ֖ה<h><H> <h>,4421,לחמ
409312,409313,〔11299｜14｜6｜16〕,<H>דַּרְכָּ֗ם<h><H> <h>,1870,דרכ
263035,263036,〔20230｜24｜51｜17〕,<H>נִסְכֹּ֖ו<h><H> <h>,5262,נסכ
230838,230839,〔18728｜23｜54｜4〕,<H>חֶרְפַּ֥ת<h><H> <h>,2781,חרפ
104446,104447,〔5433｜5｜20｜5〕,<H>מִּלְחָמָ֔ה<h><H> <h>,4421,לחמ
292645,292646,〔22199｜28｜8｜4〕,<H>עֲצַבִּ֔ים<h><H> <h>,6091,עצב
199678,199679,〔9734｜12｜8｜6〕,<H>אִשָּׁ֖ה<h><H> <h>,802,אישׁ
135906,135907,〔6894｜7｜13｜9〕,<H>אִשָּׁ֗ה<h><H> <h>,802,אישׁ
233135,233136,〔18851｜23｜61｜7〕,<H>כְלִמָּ֖ה<h><H> <h>,3639,כלמ
352761,352762,〔17022｜20｜22｜6〕,<H>דַרְכֹּ֑ו<h><H> <h>,1870,דרכ
280979,280980,〔21290｜26｜33｜9〕,<H>דַּרְכֹּ֑ו<h><H> <h>,1870,דרכ
160390,160391,〔8019｜9｜31｜9〕,<H>עֲצַבֵּיהֶ֖ם<h><H> <h>,6091,עצב
400727,400728,〔10888｜13｜17｜24〕,<H>עַבְדְּךָ֖<h><H> <h>,5650,עבד
128305,128306,〔6551｜7｜2｜5〕,<H>מָּקֹ֥ום<h><H> <h>,4725,קומ
337428,337429,〔12966｜18｜5｜14〕,<H>לַּ֗יְלָה<h><H> <h>,3915,לול
78642,78643,〔4120｜4｜14｜11〕,<H>קִרְבֹּֽו<h><H>׃ <h>,7130,קרב
380784,380785,〔12167｜15｜6｜15〕,<H>מַלְכָּֽא<h><H>׃ פ <h>,4430,מלכ
304003,304004,〔22836｜36｜3｜15〕,<H>קִרְבֵּ֔ךְ<h><H> <h>,7130,קרב
156765,156766,〔7875｜9｜25｜13〕,<H>חַרְבֹּ֗ו<h><H> <h>,2719,חרב
137250,137251,〔6953｜7｜16｜3〕,<H>לַּיְלָה֒<h><H> <h>,3915,לול
362942,362943,〔17510｜21｜10｜16〕,<H>מַּלְכֵּ֖ךְ<h><H> <h>,4428,מלכ
123186,123187,〔6308｜6｜18｜14〕,<H>נֶגְבָּה֒<h><H> <h>,5045,נגב
418041,418042,〔11672｜14｜23｜15〕,<H>סּוּסִ֖ים<h><H> <h>,5483,סוס
410329,410330,〔11337｜14｜7｜12〕,<H>לָּ֑יְלָה<h><H> <h>,3915,לול
314162,314163,〔14261｜19｜25｜9〕,<H>דַּרְכֹּֽו<h><H>׃ <h>,1870,דרכ
139962,139963,〔7059｜7｜20｜4〕,<H>אִשָּׁ֥ה<h><H> <h>,802,אישׁ
227824,227825,〔18560｜23｜44｜26〕,<H>עַבְדֹּ֔ו<h><H> <h>,5650,עבד
261557,261558,〔20150｜24｜49｜22〕,<H>אִשָּׁ֥ה<h><H> <h>,802,אישׁ
425567,425568,〔11975｜14｜35｜8〕,<H>אַלְפַּ֨יִם֙<h><H> <h>,505,אלפ
191159,191160,〔9378｜11｜18｜36〕,<H>עַבְדֶּ֑ךָ<h><H> <h>,5650,עבד
168113,168114,〔8362｜10｜14｜5〕,<H>אִשָּֽׁה<h><H>־<h>,802,אישׁ
341410,341411,〔13382｜18｜21｜26〕,<H>רִמָּ֗ה<h><H> <h>,7415,רומ
157650,157651,〔7911｜9｜26｜5〕,<H>מָּקֹום֙<h><H> <h>,4725,קומ
83749,83750,〔4374｜4｜21｜33〕,<H>מִּלְחָמָ֖ה<h><H> <h>,4421,לחמ
409424,409425,〔11304｜14｜6｜21〕,<H>עַבְדְּךָ֙<h><H> <h>,5650,עבד
194277,194278,〔9511｜11｜22｜30〕,<H>מִּלְחָמָ֔ה<h><H> <h>,4421,לחמ
20272,20273,〔1091｜1｜37｜7〕,<H>אֲלֻמִּים֙<h><H> <h>,485,אלמ
73411,73412,〔3826｜4｜6｜2〕,<H>אִשָּׁ֗ה<h><H> <h>,802,אישׁ
363760,363761,〔20324｜25｜1｜13〕,<H>מָּרֹ֛ום<h><H> <h>,4791,רומ
189231,189232,〔9293｜11｜16｜9〕,<H>עַבְדֹּ֣ו<h><H> <h>,5650,עבד
24693,24694,〔1319｜1｜43｜28〕,<H>עַבְדְּךָ֥<h><H> <h>,5650,עבד
384795,384796,〔12356｜16｜3｜28〕,<H>סּוּסִ֗ים<h><H> <h>,5483,סוס
275714,275715,〔21008｜26｜22｜31〕,<H>דַּרְכָּם֙<h><H> <h>,1870,דרכ
226192,226193,〔18461｜23｜41｜9〕,<H>עַבְדִּי<h><H>־<h>,5650,עבד
168705,168706,〔8384｜10｜14｜27〕,<H>אִשָּׁ֖ה<h><H> <h>,802,אישׁ
192613,192614,〔9438｜11｜20｜29〕,<H>מִּלְחָמָ֔ה<h><H> <h>,4421,לחמ
7855,7856,〔428｜1｜18｜3〕,<H>עַבְדֶּֽךָ<h><H>׃ <h>,5650,עבד
367365,367366,〔12774｜17｜4｜11〕,<H>אִשָּׁ֡ה<h><H> <h>,802,אישׁ
49943,49944,〔2606｜2｜37｜1〕,<H>רָחְבֹּ֔ו<h><H> <h>,7341,רחב
400658,400659,〔10885｜13｜17｜21〕,<H>גְּדֻלֹּ֣ות<h><H> <h>,1420,גדל
94058,94059,〔4955｜5｜2｜16〕,<H>מִּלְחָמָ֛ה<h><H> <h>,4421,לחמ
72099,72100,〔3760｜4｜4｜16〕,<H>פְקֻדַּ֞ת<h><H> <h>,6486,פקד
179283,179284,〔8860｜11｜4｜15〕,<H>אִשָּֽׁה<h><H>׃ <h>,802,אישׁ
198944,198945,〔9710｜12｜7｜2〕,<H>שָּׁלִ֡ישׁ<h><H> <h>,7991,שׁלשׁ
290623,290624,〔21723｜26｜48｜20〕,<H>אֲחֻזַּ֖ת<h><H> <h>,272,אחז
123202,123203,〔6309｜6｜18｜15〕,<H>נֶ֕גְבָּה<h><H> <h>,5045,נגב
380160,380161,〔12142｜15｜5｜7〕,<H>מַלְכָּ֖א<h><H> <h>,4430,מלכ
102162,102163,〔5329｜5｜15｜9〕,<H>שְּׁמִטָּה֒<h><H> <h>,8059,שׁמט
69255,69256,〔3587｜3｜27｜16〕,<H>אֲחֻזָּתֹ֗ו<h><H> <h>,272,אחז
243585,243586,〔19383｜24｜17｜25〕,<H>סּוּסִ֗ים<h><H> <h>,5483,סוס
