,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
6905,51775,51776,〔2705｜2｜39｜40〕,<H>עַמֻּדֶ֣יהָ<h><H> <h>,5982,עמד
31690,246245,246246,〔19500｜24｜23｜15〕,<H>חֲנֻפָּ֖ה<h><H> <h>,2613,חנפ
14701,107973,107974,〔5603｜5｜27｜17〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
12546,91554,91555,〔4827｜4｜34｜10〕,<H>גְב֣וּל<h><H> <h>,1366,גבל
11550,83546,83547,〔4363｜4｜21｜22〕,<H>גְּבֻלֶֽךָ<h><H>׃ <h>,1366,גבל
49839,360553,360554,〔17383｜21｜4｜1〕,<H>עֲשֻׁקִ֔ים<h><H> <h>,6217,עשׁק
46990,344275,344276,〔13676｜18｜33｜25〕,<H>עֲלוּמָֽיו<h><H>׃ <h>,5934,עלמ
940,6413,6414,〔348｜1｜14｜11〕,<H>רְכֻ֨שׁ<h><H> <h>,7399,רכשׁ
4356,36195,36196,〔1889｜2｜13｜21〕,<H>עַמּ֤וּד<h><H> <h>,5982,עמד
44918,332033,332034,〔15993｜19｜119｜94〕,<H>פִקּוּדֶ֣יךָ<h><H> <h>,6490,פקד
27431,216967,216968,〔17938｜23｜14｜9〕,<H>עַתּ֣וּדֵי<h><H> <h>,6260,עתד
30563,237511,237512,〔19081｜24｜5｜22〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
4359,36204,36205,〔1889｜2｜13｜21〕,<H>עַמּ֥וּד<h><H> <h>,5982,עמד
11656,84588,84589,〔4412｜4｜22｜36〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
19654,152337,152338,〔7685｜9｜18｜8〕,<H>מְּלוּכָֽה<h><H>׃ <h>,4410,מלכ
44233,327987,327988,〔15548｜19｜102｜26〕,<H>לְּב֖וּשׁ<h><H> <h>,3830,לבשׁ
31020,240832,240833,〔19250｜24｜11｜23〕,<H>פְּקֻדָּתָֽם<h><H>׃ ס <h>,6486,פקד
6629,50707,50708,〔2651｜2｜38｜17〕,<H>עַמֻּדִים֮<h><H> <h>,5982,עמד
47190,345513,345514,〔13803｜18｜38｜9〕,<H>לְבֻשֹׁ֑ו<h><H> <h>,3830,לבשׁ
9401,68099,68100,〔3522｜3｜25｜52〕,<H>גְּאֻלָּתֹֽו<h><H>׃ <h>,1353,גאל
23136,181539,181540,〔8965｜11｜7｜30〕,<H>יְצֻקֹ֔ות<h><H> <h>,3333,יצק
12823,94076,94077,〔4957｜5｜2｜18〕,<H>גְּב֥וּל<h><H> <h>,1366,גבל
12932,94955,94956,〔4996｜5｜3｜20〕,<H>ירֻשָּׁתֹ֔ו<h><H> <h>,3425,ירשׁ
3195,26092,26093,〔1393｜1｜46｜6〕,<H>רְכוּשָׁם֙<h><H> <h>,7399,רכשׁ
11241,81444,81445,〔4265｜4｜18｜7〕,<H>כְּהֻנַּתְכֶ֜ם<h><H> <h>,3550,כהנ
37674,288366,288367,〔21628｜26｜44｜28〕,<H>אֲחֻזָּ֗ה<h><H> <h>,272,אחז
56344,403499,403500,〔11019｜13｜24｜3〕,<H>פְקֻדָּתָ֖ם<h><H> <h>,6486,פקד
49124,355704,355705,〔17307｜20｜31｜22〕,<H>לְבוּשָֽׁהּ<h><H>׃ <h>,3830,לבשׁ
49270,357277,357278,〔7198｜8｜4｜7〕,<H>גְּאוּלָּ֤ה<h><H> <h>,1353,גאל
43906,326146,326147,〔15372｜19｜89｜45〕,<H>בּוּשָׁ֣ה<h><H> <h>,955,בושׁ
1006,6914,6915,〔375｜1｜15｜14〕,<H>רְכֻ֥שׁ<h><H> <h>,7399,רכשׁ
38093,290275,290276,〔21709｜26｜48｜6〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
27514,217441,217442,〔17969｜23｜15｜8〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
27742,218868,218869,〔18046｜23｜21｜10〕,<H>מְדֻשָׁתִ֖י<h><H> <h>,4098,דושׁ דישׁ
50734,366093,366094,〔12728｜17｜2｜3〕,<H>תַּמְרוּקֵיהֶֽן<h><H>׃ <h>,8562,מרק
16325,121639,121640,〔6214｜6｜15｜11〕,<H>גְּבוּל֙<h><H> <h>,1366,גבל
22586,177607,177608,〔8786｜11｜2｜15〕,<H>מְּלוּכָה֙<h><H> <h>,4410,מלכ
22207,174642,174643,〔8638｜10｜22｜35〕,<H>נְחוּשָׁ֖ה<h><H> <h>,5154,נחשׁ
46830,343268,343269,〔13576｜18｜30｜18〕,<H>לְבוּשִׁ֑י<h><H> <h>,3830,לבשׁ
56524,404946,404947,〔11114｜13｜27｜4〕,<H>מַחֲלֻקְתֹּ֔ו<h><H> <h>,4256,חלק
836,5568,5569,〔304｜1｜12｜5〕,<H>רְכוּשָׁם֙<h><H> <h>,7399,רכשׁ
11245,81463,81464,〔4265｜4｜18｜7〕,<H>כְּהֻנַּתְכֶ֔ם<h><H> <h>,3550,כהנ
42510,318727,318728,〔14678｜19｜50｜9〕,<H>עַתּוּדִֽים<h><H>׃ <h>,6260,עתד
50511,364924,364925,〔20419｜25｜3｜64〕,<H>גְּמ֛וּל<h><H> <h>,1576,גמל
16979,128194,128195,〔6546｜7｜1｜36〕,<H>גְבוּל֙<h><H> <h>,1366,גבל
18837,144330,144331,〔7341｜9｜6｜9〕,<H>גְּבוּלֹ֤ו<h><H> <h>,1366,גבל
54750,388016,388017,〔12524｜16｜9｜12〕,<H>עַמּ֣וּד<h><H> <h>,5982,עמד
38077,290226,290227,〔21705｜26｜48｜2〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
54999,390037,390038,〔12652｜16｜12｜27〕,<H>חֲנֻכַּ֞ת<h><H> <h>,2598,חנכ
18041,137838,137839,〔6976｜7｜16｜26〕,<H>עַמֻּדִ֔ים<h><H> <h>,5982,עמד
23084,181273,181274,〔8955｜11｜7｜20〕,<H>עַמּוּדִ֔ים<h><H> <h>,5982,עמד
9842,71469,71470,〔3729｜4｜3｜36〕,<H>עַמֻּדָ֣יו<h><H> <h>,5982,עמד
